@relation accident_data

@attribute Accident_ID {A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,A91,A92,A93,A94,A95,A96,A97,A98,A99,A100,A101,A102,A103,A104,A105,A106,A107,A108,A109,A110,A111,A112,A113,A114,A115,A116,A117,A118,A119,A120,A121,A122,A123,A124,A125,A126,A127,A128,A129,A130,A131,A132,A133,A134,A135,A136,A137,A138,A139,A140,A141,A142,A143,A144,A145,A146,A147,A148,A149,A150,A151,A152,A153,A154,A155,A156,A157,A158,A159,A160,A161,A162,A163,A164,A165,A166,A167,A168,A169,A170,A171,A172,A173,A174,A175,A176,A177,A178,A179,A180,A181,A182,A183,A184,A185,A186,A187,A188,A189,A190,A191,A192,A193,A194,A195,A196,A197,A198,A199,A200,A201,A202,A203,A204,A205,A206,A207,A208,A209,A210,A211,A212,A213,A214,A215,A216,A217,A218,A219,A220,A221,A222,A223,A224,A225,A226,A227,A228,A229,A230,A231,A232,A233,A234,A235,A236,A237,A238,A239,A240,A241,A242,A243,A244,A245,A246,A247,A248,A249,A250,A251,A252,A253,A254,A255,A256,A257,A258,A259,A260,A261,A262,A263,A264,A265,A266,A267,A268,A269,A270,A271,A272,A273,A274,A275,A276,A277,A278,A279,A280,A281,A282,A283,A284,A285,A286,A287,A288,A289,A290,A291,A292,A293,A294,A295,A296,A297,A298,A299,A300,A301,A302,A303,A304,A305,A306,A307,A308,A309,A310,A311,A312,A313,A314,A315,A316,A317,A318,A319,A320,A321,A322,A323,A324,A325,A326,A327,A328,A329,A330,A331,A332,A333,A334,A335,A336,A337,A338,A339,A340,A341,A342,A343,A344,A345,A346,A347,A348,A349,A350,A351,A352,A353,A354,A355,A356,A357,A358,A359,A360,A361,A362,A363,A364,A365,A366,A367,A368,A369,A370,A371,A372,A373,A374,A375,A376,A377,A378,A379,A380,A381,A382,A383,A384,A385,A386,A387,A388,A389,A390,A391,A392,A393,A394,A395,A396,A397,A398,A399,A400,A401,A402,A403,A404,A405,A406,A407,A408,A409,A410,A411,A412,A413,A414,A415,A416,A417,A418,A419,A420,A421,A422,A423,A424,A425,A426,A427,A428,A429,A430,A431,A432,A433,A434,A435,A436,A437,A438,A439,A440,A441,A442,A443,A444,A445,A446,A447,A448,A449,A450,A451,A452,A453,A454,A455,A456,A457,A458,A459,A460,A461,A462,A463,A464,A465,A466,A467,A468,A469,A470,A471,A472,A473,A474,A475,A476,A477,A478,A479,A480,A481,A482,A483,A484,A485,A486,A487,A488,A489,A490,A491,A492,A493,A494,A495,A496,A497,A498,A499,A500}
@attribute Location {Suburban,Rural,Urban}
@attribute Time_of_Day {Afternoon,Evening,Morning,Night}
@attribute Weather {Snowy,Clear,Foggy,Rainy}
@attribute Road_Condition {Icy,Wet,Dry}
@attribute Vehicle_Type {Car,Bus,Truck,Bicycle,Motorcycle}
@attribute Injury_Severity {'No Injury','Severe Injury',Fatal,'Minor Injury'}
@attribute Accident_Hotspot {Yes,No}
@attribute Vehicle_Involvement numeric

@data
A1,Suburban,Afternoon,Snowy,Icy,Car,'No Injury',Yes,4
A2,Rural,Evening,Clear,Wet,Bus,'No Injury',Yes,1
A3,Suburban,Morning,Clear,Icy,Truck,'Severe Injury',Yes,5
A4,Suburban,Evening,Snowy,Wet,Bus,Fatal,Yes,5
A5,Rural,Afternoon,Foggy,Icy,Truck,Fatal,No,1
A6,Rural,Night,Foggy,Icy,Bicycle,'No Injury',Yes,5
A7,Urban,Night,Snowy,Wet,Bicycle,'Severe Injury',No,5
A8,Rural,Night,Foggy,Wet,Truck,'No Injury',No,2
A9,Suburban,Afternoon,Rainy,Wet,Bus,'Minor Injury',No,2
A10,Rural,Night,Clear,Wet,Motorcycle,'Minor Injury',Yes,1
A11,Rural,Morning,Snowy,Icy,Motorcycle,Fatal,No,3
A12,Urban,Night,Foggy,Dry,Car,'Minor Injury',Yes,5
A13,Rural,Evening,Rainy,Wet,Car,Fatal,Yes,5
A14,Urban,Afternoon,Snowy,Wet,Car,'Severe Injury',Yes,2
A15,Suburban,Night,Clear,Wet,Bicycle,'Severe Injury',No,2
A16,Rural,Afternoon,Rainy,Wet,Motorcycle,'No Injury',Yes,1
A17,Suburban,Evening,Snowy,Dry,Bus,'Minor Injury',No,1
A18,Rural,Night,Clear,Wet,Bus,'Minor Injury',Yes,3
A19,Rural,Evening,Foggy,Icy,Bicycle,'No Injury',Yes,1
A20,Urban,Evening,Clear,Wet,Truck,'Severe Injury',Yes,4
A21,Rural,Evening,Foggy,Wet,Bus,'Severe Injury',No,1
A22,Suburban,Afternoon,Clear,Wet,Truck,Fatal,Yes,2
A23,Rural,Evening,Snowy,Wet,Truck,'Minor Injury',Yes,3
A24,Urban,Evening,Clear,Dry,Bus,'No Injury',No,3
A25,Suburban,Afternoon,Clear,Wet,Bus,Fatal,Yes,1
A26,Urban,Morning,Clear,Dry,Motorcycle,'Minor Injury',No,5
A27,Rural,Evening,Foggy,Icy,Bicycle,'Minor Injury',Yes,1
A28,Urban,Night,Rainy,Icy,Car,'Minor Injury',No,1
A29,Suburban,Morning,Foggy,Wet,Bus,'No Injury',No,2
A30,Rural,Night,Snowy,Wet,Bus,'Severe Injury',Yes,3
A31,Suburban,Evening,Foggy,Wet,Car,'No Injury',Yes,2
A32,Suburban,Night,Rainy,Icy,Truck,'Severe Injury',Yes,1
A33,Urban,Morning,Rainy,Dry,Bicycle,'No Injury',Yes,4
A34,Suburban,Night,Foggy,Dry,Truck,Fatal,No,5
A35,Suburban,Evening,Clear,Icy,Truck,Fatal,No,4
A36,Rural,Morning,Clear,Wet,Truck,'Severe Injury',No,1
A37,Rural,Morning,Clear,Dry,Bicycle,'Minor Injury',Yes,5
A38,Rural,Night,Rainy,Icy,Truck,'Severe Injury',Yes,5
A39,Rural,Afternoon,Foggy,Wet,Truck,'No Injury',No,5
A40,Rural,Morning,Foggy,Dry,Truck,Fatal,No,1
A41,Rural,Afternoon,Clear,Icy,Truck,'Minor Injury',No,1
A42,Urban,Afternoon,Snowy,Wet,Truck,Fatal,Yes,2
A43,Urban,Afternoon,Snowy,Dry,Motorcycle,'No Injury',Yes,2
A44,Urban,Evening,Foggy,Dry,Truck,'Minor Injury',No,1
A45,Rural,Evening,Foggy,Dry,Bus,'No Injury',Yes,5
A46,Rural,Afternoon,Rainy,Wet,Bicycle,'No Injury',No,4
A47,Suburban,Afternoon,Foggy,Icy,Bicycle,'Minor Injury',Yes,3
